rank,symbol,company_name,current_price,change_percent,volume,turnover,market,quote_currency,source_url,crawl_timestamp
1,003280,흥아해운,3625000.0,19.64,198610000.0,719950000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
2,001510,SK증권,2375000.0,-8.12,169570000.0,402740000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
3,214390,경보제약,7960000.0,11.33,16640000.0,132440000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
4,092220,KEC,1705000.0,21.18,69340000.0,118220000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
5,005880,대한해운,2235000.0,-4.89,37880000.0,84660000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
6,011930,신성이엔지,2800000.0,-6.98,15490000.0,43380000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
7,006890,태경케미컬,9100000.0,5.81,4300000.0,39110000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
8,088350,한화생명,4800000.0,-8.22,8039999.999999999,38600000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
9,279570,케이뱅크,6150000.0,-6.82,6250000.0,38470000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
10,003530,한화투자증권,7040000.0,-11.11,5340000.0,37630000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
11,018880,한온시스템,3895000.0,-5.92,8300000.000000001,32350000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
12,006340,대원전선,5710000.0,-10.92,5620000.0,32070000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
13,010820,퍼스텍,7070000.0,0.14,4120000.0,29140000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
14,028670,팬오션,4820000.0,-9.57,5570000.0,26870000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
15,025860,남해화학,8040000.0,-3.37,3070000.0,24650000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
16,109070,주성코퍼레이션,1357000.0,10.78,17310000.0,23500000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
17,008700,아남전자,1743000.0,-1.75,8520000.0,14840000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
18,002780,진흥기업,1053000.0,-8.43,13400000.0,14110000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
19,008350,남선알미늄,1391000.0,-6.01,10100000.0,14040000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
20,003000,부광약품,6040000.0,0.83,2210000.0,13370000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
21,465770,STX그린로지스,6660000.0,-3.06,1450000.0,9650000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
22,000390,삼화페인트공업,9660000.0,-4.73,973390.0,9400000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
23,005010,휴스틸,5290000.0,-3.82,1680000.0,8870000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
24,014530,극동유화,3605000.0,-3.09,2160000.0,7780000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
25,001200,유진증권,4950000.0,-5.53,1480000.0,7320000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
26,037270,YG PLUS,5310000.0,-12.95,1310000.0,6940000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
27,011700,한신기계공업,4840000.0,-7.98,1390000.0,6740000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
28,001290,상상인증권,1250000.0,-11.54,5340000.0,6670000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
29,452260,한화갤러리아,2455000.0,-8.05,2690000.0,6600000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
30,016880,웅진,2735000.0,-10.03,2240000.0,6130000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
31,004140,동방,2795000.0,-4.61,2120000.0,5930000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
32,005960,동부건설,9100000.0,-11.39,641100.0,5830000000.0,KRX,KRW,https://kr.tradingview.com/markets/stocks-korea/market-movers-active/,2026-03-23T18:53:12
